iter	Passed	Remaining
0	2	2304
1	4	2135
2	8	2707
3	10	2612
4	12	2449
5	14	2435
6	16	2349
7	18	2290
8	20	2237
9	25	2529
10	27	2491
11	30	2471
12	31	2421
13	33	2391
14	35	2350
15	38	2378
16	41	2397
17	43	2388
18	45	2359
19	47	2335
20	49	2311
21	51	2295
22	54	2326
23	57	2328
24	59	2332
25	61	2309
26	63	2305
27	66	2296
28	68	2279
29	71	2315
30	74	2325
31	76	2304
32	78	2294
33	80	2278
34	82	2267
35	84	2253
36	88	2302
37	90	2291
38	92	2289
39	94	2278
40	97	2275
41	99	2262
42	101	2258
43	105	2300
44	108	2301
45	110	2295
46	112	2280
47	114	2264
48	116	2253
49	120	2284
50	122	2283
51	124	2274
52	126	2269
53	128	2256
54	130	2244
55	132	2233
56	136	2263
57	139	2258
58	141	2253
59	143	2242
60	144	2231
61	146	2220
62	149	2225
63	153	2248
64	155	2238
65	157	2230
66	159	2221
67	161	2210
68	163	2200
69	164	2191
70	169	2216
71	171	2212
72	173	2204
73	175	2195
74	177	2185
75	179	2181
76	181	2179
77	186	2204
78	188	2195
79	190	2187
80	192	2183
81	194	2175
82	196	2168
83	200	2188
84	202	2180
85	204	2172
86	206	2164
87	208	2159
88	210	2151
89	212	2144
90	216	2165
91	218	2157
92	220	2150
93	222	2142
94	224	2134
95	226	2128
96	227	2122
97	232	2139
98	234	2134
99	236	2127
100	238	2123
101	240	2115
102	242	2108
103	243	2101
104	248	2116
105	250	2109
106	252	2103
107	253	2096
108	255	2089
109	257	2082
110	259	2076
111	262	2083
112	265	2081
113	267	2075
114	268	2069
115	270	2062
116	272	2057
117	274	2053
118	276	2047
119	280	2055
120	282	2053
121	284	2047
122	286	2042
123	288	2035
124	290	2035
125	293	2039
126	296	2041
127	298	2035
128	300	2029
129	302	2023
130	304	2020
131	307	2021
132	313	2040
133	315	2035
134	316	2030
135	318	2023
136	320	2020
137	322	2015
138	325	2018
139	329	2021
140	331	2020
141	334	2019
142	336	2016
143	338	2014
144	342	2021
145	345	2020
146	347	2017
147	350	2015
148	352	2012
149	354	2009
150	359	2022
151	361	2018
152	364	2015
153	366	2012
154	368	2009
155	370	2006
156	375	2013
157	377	2010
158	379	2006
159	381	2003
160	383	1999
161	386	1996
162	388	1996
163	391	1996
164	394	1993
165	396	1991
166	398	1988
167	400	1984
168	403	1981
169	407	1989
170	409	1987
171	411	1983
172	414	1979
173	416	1977
174	418	1974
175	423	1981
176	425	1978
177	427	1974
178	430	1976
179	433	1973
180	435	1970
181	439	1973
182	441	1969
183	443	1966
184	445	1964
185	448	1961
186	450	1958
187	454	1964
188	457	1961
189	459	1959
190	461	1955
191	463	1952
192	466	1948
193	470	1952
194	472	1950
195	474	1947
196	476	1943
197	478	1939
198	481	1936
199	483	1934
200	486	1935
201	488	1931
202	491	1928
203	493	1925
204	495	1921
205	497	1917
206	500	1919
207	503	1918
208	505	1914
209	507	1910
210	510	1907
211	512	1905
212	514	1902
213	518	1902
214	520	1900
215	522	1897
216	524	1894
217	528	1894
218	532	1898
219	536	1903
220	539	1899
221	541	1898
222	543	1894
223	545	1889
224	549	1891
225	551	1888
226	553	1884
227	555	1879
228	556	1875
229	558	1870
230	560	1865
231	562	1862
232	565	1862
233	567	1858
234	569	1853
235	571	1849
236	573	1845
237	574	1840
238	576	1836
239	580	1837
240	582	1834
241	584	1830
242	586	1826
243	588	1822
244	590	1818
245	591	1814
246	593	1810
247	597	1813
248	599	1808
249	601	1805
250	603	1801
251	605	1797
252	607	1792
253	608	1788
254	611	1787
255	614	1785
256	616	1782
257	618	1778
258	621	1777
259	623	1774
260	625	1770
261	628	1771
262	631	1769
263	633	1765
264	635	1762
265	637	1758
266	638	1754
267	640	1749
268	642	1747
269	646	1748
270	648	1744
271	650	1740
272	652	1736
273	653	1732
274	655	1728
275	658	1726
276	662	1727
277	664	1724
278	665	1720
279	667	1717
280	669	1713
281	671	1709
282	673	1706
283	680	1714
284	682	1711
285	684	1707
286	685	1703
287	687	1700
288	689	1696
289	694	1699
290	696	1696
291	698	1692
292	699	1688
293	701	1684
294	703	1681
295	705	1677
296	709	1679
297	711	1675
298	714	1674
299	715	1670
300	717	1666
301	719	1663
302	721	1660
303	725	1661
304	727	1658
305	729	1655
306	731	1651
307	733	1647
308	735	1644
309	737	1640
310	741	1641
311	743	1639
312	745	1635
313	747	1632
314	748	1628
315	750	1625
316	752	1622
317	757	1625
318	790	1687
319	798	1697
320	814	1722
321	818	1724
322	826	1732
323	829	1730
324	831	1726
325	833	1722
326	835	1718
327	839	1720
328	841	1716
329	843	1712
330	845	1708
331	847	1704
332	848	1698
333	850	1695
334	851	1691
335	855	1691
336	857	1687
337	859	1684
338	861	1680
339	863	1676
340	865	1672
341	867	1669
342	872	1670
343	874	1666
344	876	1663
345	877	1659
346	880	1656
347	881	1652
348	883	1648
349	887	1647
350	889	1644
351	891	1640
352	892	1636
353	894	1633
354	896	1629
355	898	1625
356	903	1626
357	905	1623
358	907	1619
359	909	1616
360	910	1612
361	912	1608
